Name;CodIBGE;Categoria;Longitude;Latitude
SÃO MIGUEL DO IGUAÇU;4125704;CIDADE;-54.242120554007;-25.3488942665276
MEDIANEIRA;4115804;CIDADE;-54.09178212692221;-25.2924974992706
SERRANÓPOLIS DO IGUAÇU;4126355;CIDADE;-54.05837658397481;-25.3798841820512
MATELÂNDIA;4115606;CIDADE;-53.9743873416592;-25.2379210121256
PLANALTO;4119806;CIDADE;-53.770857430338;-25.7121014970234
CAPANEMA;4104501;CIDADE;-53.8001786950115;-25.6829774166965
CAPITÃO LEÔNIDAS MARQUES;4104600;CIDADE;-53.6172110107619;-25.479468483784
GUARUJÁ DO SUL;4206603;CIDADE;-53.5254451083141;-26.3849206032803
BOM JESUS DO SUL;4103156;CIDADE;-53.59959996947019;-26.1928749685172
FLOR DA SERRA DO SUL;4107850;CIDADE;-53.3085976818885;-26.2552988451785
SALGADO FILHO;4122800;CIDADE;-53.3621154225924;-26.1704605179045
MANFRINÓPOLIS;4114351;CIDADE;-53.3125829630542;-26.1437768717995
PINHAL DE SÃO BENTO;4119251;CIDADE;-53.48309044221699;-26.0327285539415
AMPÉRE;4101002;CIDADE;-53.4732567447246;-25.9170684645403
PALMA SOLA;4212007;CIDADE;-53.2799772512092;-26.3465081330525
CAMPO ERÊ;4203501;CIDADE;-53.0901551703376;-26.3945511402537
MARMELEIRO;4115408;CIDADE;-53.0261839782571;-26.1486971922463
RENASCENÇA;4121604;CIDADE;-52.97216201169879;-26.1562209287958
NOVA ESPERANÇA DO SUDOESTE;4116950;CIDADE;-53.2642073185992;-25.8987792075935
ENÉAS MARQUES;4107405;CIDADE;-53.166185268213;-25.9407559819665
FRANCISCO BELTRÃO;4108403;CIDADE;-53.0561357214894;-26.0784499992544
REALEZA;4121406;CIDADE;-53.532574359025;-25.7625799498748
SANTA IZABEL DO OESTE;4123808;CIDADE;-53.4836175358081;-25.8143812176812
SALTO DO LONTRA;4123006;CIDADE;-53.31493510182099;-25.7767652421911
NOVA PRATA DO IGUAÇU;4117255;CIDADE;-53.3479572462114;-25.6318770902275
SANTA LÚCIA;4123824;CIDADE;-53.5711436726035;-25.4113199190377
LINDOESTE;4113452;CIDADE;-53.5771259362793;-25.2559851252331
BOA VISTA DA APARECIDA;4103057;CIDADE;-53.41173648903699;-25.4304049435915
BOA ESPERANÇA DO IGUAÇU;4103024;CIDADE;-53.2171600749416;-25.6358731586601
CRUZEIRO DO IGUAÇU;4106571;CIDADE;-53.1268226637842;-25.6165692695503
DOIS VIZINHOS;4107207;CIDADE;-53.0548359924349;-25.7460100192612
TRÊS BARRAS DO PARANÁ;4127858;CIDADE;-53.1874988005459;-25.4194083187462
MISSAL;4116059;CIDADE;-54.2431753258264;-25.0911596673316
DIAMANTE D'OESTE;4107157;CIDADE;-54.1036264276883;-24.9421618548938
RAMILÂNDIA;4121257;CIDADE;-54.02723703178771;-25.1189865228841
ENTRE RIOS DO OESTE;4107538;CIDADE;-54.2448936714884;-24.7081421694804
PATO BRAGADO;4118451;CIDADE;-54.231395741042;-24.6256440137772
SÃO JOSÉ DAS PALMEIRAS;4125456;CIDADE;-54.0599182790456;-24.8340818666493
CÉU AZUL;4105300;CIDADE;-53.85726938306739;-25.149761208586
VERA CRUZ DO OESTE;4128559;CIDADE;-53.8800300706254;-25.0631701882863
SÃO PEDRO DO IGUAÇU;4125753;CIDADE;-53.8598616786826;-24.9309309241334
SANTA TEREZA DO OESTE;4124020;CIDADE;-53.6272357310511;-25.0587219002295
OURO VERDE DO OESTE;4117453;CIDADE;-53.8995380841541;-24.7707942891292
TOLEDO;4127700;CIDADE;-53.7414114911568;-24.7320769992824
MERCEDES;4115853;CIDADE;-54.1644357171677;-24.4488897638897
MARECHAL CÂNDIDO RONDON;4114609;CIDADE;-54.06000781645311;-24.5592544942861
QUATRO PONTES;4120853;CIDADE;-53.9726991274637;-24.5732085840776
NOVA SANTA ROSA;4117222;CIDADE;-53.955116084308;-24.46476453260181
TERRA ROXA;4127403;CIDADE;-54.0985136359671;-24.1674835253546
GUAÍRA;4108809;CIDADE;-54.2467577203893;-24.0852754792964
MARIPÁ;4115358;CIDADE;-53.8334777829878;-24.4172088385418
PALOTINA;4117909;CIDADE;-53.8387717238929;-24.2794094842922
FRANCISCO ALVES;4108320;CIDADE;-53.84401596715129;-24.0675754036839
IPORÃ;4110607;CIDADE;-53.7180991714403;-24.0025804978362
CASCAVEL;4104808;CIDADE;-53.4597221819856;-24.95379749927771
CORBÉLIA;4106308;CIDADE;-53.2965277769968;-24.7996495152542
CAFELÂNDIA;4103453;CIDADE;-53.32491647843019;-24.6156669754192
CATANDUVAS;4105003;CIDADE;-53.1537063668495;-25.1964932487334
IBEMA;4109757;CIDADE;-53.0231216933671;-25.112867070434
CAMPO BONITO;4104055;CIDADE;-52.9968696036502;-25.03963448206561
ANAHY;4101051;CIDADE;-53.1333198286711;-24.6475824579028
